,,apc2,apc2,apc2,apc2,apc2,apc2,apc2,apc2,apc2,apc2,apc2,apc2,apc2,apc2,apc2,apc2,apc2,apc2,apc3,apc3,apc3,apc3,apc3,apc3,apc3,apc3,apc3,apc3,apc3,apc3,apc3,apc3,apc3,apc3,apc3,apc3,apc4,apc4,apc4,apc4,apc4,apc4,apc4,apc4,apc4,apc4,apc4,apc4,apc4,apc4,apc4,apc4,apc4,apc4,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z
HH118,HCONH2,4.92175716,3.95121688,2.88250925,0.28238609,0.0,0.0,0.32616436,0.24628326,0.12237016,0.03508184,-0.0,-0.0,5.24792152,4.19750013,3.00487941,0.31746792999999995,0.0,0.0,4.92967777,3.9608091,2.89302408,0.28296737,-0.0,0.0,0.32199777,0.24300461,0.12007645,0.03518309,0.0,0.0,5.25167554,4.20381371,3.01310053,0.318150465,0.0,0.0,4.93035824,3.96175929,2.89394672,0.28332018,0.0,-0.0,0.32036146,0.24186821,0.11908673,0.035502675,0.0,0.0,5.2507197,4.20362749,3.01303344,0.31882285,0.0,0.0,4.9190401,3.93831695,2.86533911,0.28040077,0.0,-0.0,0.32270428,0.24280674,0.11685552,0.035247175,-0.0,0.0,5.24174438,4.18112369,2.98219463,0.31564795,0.0,0.0,4.92571439,3.95643696,2.88473507,0.28310536,-0.0,0.0,0.32077439,0.24199302,0.11762936,0.03562786,-0.0,-0.0,5.24648877,4.19842998,3.00236443,0.31873322000000004,-0.0,-0.0,4.92885028,3.9588737,2.89089257,0.28334332,0.0,0.0,0.31978009,0.24109196,0.11795958,0.035761655,0.0,0.0,5.24863037,4.19996566,3.00885215,0.319104985,0.0,0.0
HH118,HCOOH,3.82327497,3.42439218,2.3395764,0.11820391,0.0,-0.0,0.23758578,0.21187777,0.09969418,0.050879864999999996,0.0,-0.0,4.06086075,3.63626995,2.43927059,0.169083775,0.0,-0.0,3.83309271,3.43161987,2.35054993,0.11819894,0.0,0.0,0.23440406,0.20816502,0.0975001,0.05075699,-0.0,-0.0,4.06749677,3.6397849,2.44805002,0.168955925,-0.0,-0.0,3.83379776,3.43244031,2.35175724,0.11834579,-0.0,0.0,0.23326372,0.20681484,0.09687384,0.050922465,0.0,-0.0,4.06706149,3.63925515,2.44863109,0.16926825,0.0,-0.0,3.82222088,3.41613076,2.32078017,0.11430368,0.0,0.0,0.23480104,0.2093774,0.09438009,0.05043873,0.0,-0.0,4.05702192,3.62550816,2.41516026,0.16474242,0.0,-0.0,3.83033076,3.42883259,2.34298188,0.11787229,-0.0,0.0,0.23373961,0.20742907,0.09555607,0.050882025,0.0,-0.0,4.06407037,3.63626165,2.43853794,0.168754315,0.0,-0.0,3.83279066,3.43070084,2.34861597,0.11810494,-0.0,-0.0,0.23302619,0.20622589,0.0959221,0.05103036,-0.0,-0.0,4.06581685,3.63692674,2.44453807,0.1691353,-0.0,-0.0
HH118,HCP,4.55778469,4.55778469,7.08252631,-0.0,-0.0,0.0,-0.04502657,-0.04502657,-0.10644037,-0.0,-0.0,-0.0,4.51275812,4.51275812,6.97608593,-0.0,-0.0,-0.0,4.59811507,4.59811507,7.08975918,0.0,0.0,0.0,-0.0605167,-0.0605167,-0.10581564,-0.0,0.0,0.0,4.53759838,4.53759838,6.98394354,-0.0,0.0,0.0,4.60148621,4.60148621,7.09199662,-0.0,0.0,-0.0,-0.06166912,-0.06166912,-0.10734845,0.0,-0.0,-0.0,4.53981709,4.53981709,6.98464817,-0.0,-0.0,-0.0,4.56494546,4.56494546,7.09387456,0.0,-0.0,0.0,-0.05118263,-0.05118263,-0.10094383,-0.0,0.0,-0.0,4.51376283,4.51376283,6.99293072,0.0,0.0,-0.0,4.5947336,4.5947336,7.0920744,0.0,0.0,0.0,-0.05885742,-0.05885742,-0.10448574,0.0,0.0,0.0,4.53587618,4.53587618,6.98758866,0.0,0.0,0.0,4.59649195,4.59649195,7.09006899,0.0,-0.0,-0.0,-0.06156767,-0.06156767,-0.10747702,-0.0,-0.0,-0.0,4.53492428,4.53492428,6.98259198,-0.0,-0.0,-0.0
HH118,HCl,2.47523387,2.47523387,2.72106242,0.0,0.0,-0.0,0.05510963,0.05510963,0.04003482,0.0,-0.0,0.0,2.5303435,2.5303435,2.76109724,0.0,-0.0,0.0,2.49738697,2.49738697,2.73459579,-0.0,-0.0,-0.0,0.04569731,0.04569731,0.03495967,0.0,0.0,0.0,2.54308428,2.54308428,2.76955545,-0.0,-0.0,0.0,2.50087079,2.50087079,2.7376269,-0.0,-0.0,-0.0,0.044484,0.044484,0.03412156,-0.0,0.0,-0.0,2.54535478,2.54535478,2.77174846,-0.0,0.0,-0.0,2.43268187,2.43268187,2.69542516,-0.0,-0.0,-0.0,0.04171625,0.04171625,0.03414278,0.0,0.0,0.0,2.47439812,2.47439812,2.72956795,0.0,0.0,0.0,2.49255303,2.49255303,2.72719915,-0.0,-0.0,-0.0,0.04401951,0.04401951,0.03386842,0.0,0.0,0.0,2.53657255,2.53657255,2.76106756,-0.0,-0.0,-0.0,2.48700051,2.48700051,2.73035091,-0.0,0.0,0.0,0.04248471,0.04248471,0.0330222,-0.0,0.0,0.0,2.52948522,2.52948522,2.76337311,-0.0,0.0,0.0
HH118,HF,0.73506604,0.73506604,0.91507094,-0.0,-0.0,-0.0,0.05939713,0.05939713,0.04715904,0.0,-0.0,0.0,0.79446317,0.79446317,0.96222998,0.0,-0.0,-0.0,0.74101134,0.74101134,0.91573146,0.0,0.0,0.0,0.05852009,0.05852009,0.04593024,0.0,0.0,-0.0,0.79953143,0.79953143,0.9616617,0.0,0.0,0.0,0.74159607,0.74159607,0.9155297,-0.0,0.0,-0.0,0.05832508,0.05832508,0.04546789,-0.0,-0.0,0.0,0.79992115,0.79992115,0.96099759,-0.0,-0.0,0.0,0.69288479,0.69288479,0.90811486,0.0,0.0,0.0,0.04775216,0.04775216,0.04613769,-0.0,-0.0,-0.0,0.74063696,0.74063696,0.95425255,-0.0,-0.0,-0.0,0.72376577,0.72376577,0.91339357,0.0,-0.0,0.0,0.05292248,0.05292248,0.04553561,-0.0,-0.0,0.0,0.77668825,0.77668825,0.95892918,0.0,-0.0,0.0,0.73349922,0.73349922,0.91455416,0.0,0.0,-0.0,0.055284,0.055284,0.04509565,-0.0,-0.0,-0.0,0.78878322,0.78878322,0.95964981,-0.0,-0.0,-0.0
HH118,HNC,2.28649406,2.28649406,3.39934032,-0.0,0.0,-0.0,0.05386726,0.05386726,0.09099048,-0.0,0.0,-0.0,2.34036132,2.34036132,3.4903308,-0.0,0.0,-0.0,2.29713738,2.29713738,3.40390668,-0.0,0.0,-0.0,0.04986901,0.04986901,0.08851267,0.0,0.0,-0.0,2.34700639,2.34700639,3.49241935,0.0,0.0,-0.0,2.29832132,2.29832132,3.404278,0.0,0.0,-0.0,0.04959339,0.04959339,0.0876348,-0.0,0.0,-0.0,2.34791471,2.34791471,3.4919128,0.0,0.0,-0.0,2.28087518,2.28087518,3.40215504,0.0,0.0,-0.0,0.05263164,0.05263164,0.0917981,-0.0,0.0,0.0,2.33350681,2.33350681,3.49395314,0.0,0.0,0.0,2.29542337,2.29542337,3.40399005,0.0,0.0,-0.0,0.0507103,0.0507103,0.08894003,-0.0,-0.0,0.0,2.34613367,2.34613367,3.49293008,0.0,-0.0,0.0,2.29724021,2.29724021,3.40412083,0.0,-0.0,0.0,0.05011652,0.05011652,0.08781864,-0.0,0.0,-0.0,2.34735673,2.34735673,3.49193946,-0.0,0.0,-0.0
HH118,HNO,1.60140787,2.18718026,2.86863756,-8e-08,-0.34301948,6e-08,-0.0081928,0.18265766,-0.08503113,-6.049999999999999e-07,-0.06912832999999999,7.765000000000001e-06,1.59321508,2.36983792,2.78360643,-6.9e-07,-0.41214781,7.825e-06,1.61281234,2.19833418,2.87846928,4e-08,-0.34169981,9e-08,-0.01075238,0.18126114,-0.08961976,-9.75e-07,-0.06896957,1.083e-05,1.60205996,2.37959532,2.78884952,-9.4e-07,-0.41066938,1.092e-05,1.61382217,2.19939547,2.87963792,1e-08,-0.34158557,2e-08,-0.01091588,0.18060623,-0.09068171,2.7999999999999997e-07,-0.068667845,1.1465e-05,1.60290629,2.3800017,2.7889562,2.9e-07,-0.410253415,1.1495000000000001e-05,1.57623567,2.1640239,2.86443342,2e-08,-0.34765296,1.2e-07,-0.01636322,0.17521167,-0.09063019,-4e-07,-0.07001974,1.018e-05,1.55987245,2.33923557,2.77380323,-3.8e-07,-0.4176727,1.03e-05,1.60203415,2.18749546,2.87545186,-4e-08,-0.34337346,4e-08,-0.01439287,0.1771158,-0.09100186,-7.5e-08,-0.06924525000000001,9.95e-06,1.58764127,2.36461126,2.78444999,-1.05e-07,-0.41261871,9.990000000000001e-06,1.60845275,2.19379771,2.87723802,-2.22e-06,-0.34241305,1.84e-06,-0.01326897,0.17793816,-0.09196038,2.45e-06,-0.06890288,-1.965e-05,1.59518378,2.37173587,2.78527764,2.3e-07,-0.41131593,-1.781e-05
HH118,HNS,6.13295662,3.85031443,3.50656177,0.03198053,1.11e-06,2.08e-06,-0.31092088,0.13944111,-0.44069577,-0.022988994999999998,9.2015e-05,0.000338875,5.82203574,3.98975554,3.065866,0.008991534999999998,9.313e-05,0.00034095999999999996,6.13770872,3.87727244,3.52451061,0.03076558,-1.34e-06,-2.61e-06,-0.31428221,0.13541277,-0.440399,-0.024378865,-0.00046353,-0.001586245,5.82342651,4.01268521,3.08411161,0.006386714999999999,-0.00046487,-0.00158886,6.14154839,3.88166501,3.52914202,0.02987612,1.13e-06,5e-06,-0.31648615,0.13448002,-0.44525022,-0.0248323,0.00087321,0.002964465,5.82506224,4.01614503,3.0838918,0.005043825,0.0008743449999999999,0.002969465,6.1134707,3.82942529,3.47600383,0.02899477,-2.1e-07,6.5e-07,-0.31734903,0.12932938,-0.44552762,-0.025043085,0.000396565,0.0014041449999999999,5.79612167,3.95875468,3.03047621,0.003951685,0.00039635500000000004,0.001404795,6.13429007,3.87142186,3.51960347,0.02946537,-9.6e-07,-2.66e-06,-0.31662399,0.13272115,-0.44684115,-0.02508043,-0.00049435,-0.001699035,5.81766608,4.00414301,3.07276231,0.0043849349999999995,-0.00049531,-0.001701695,6.13718704,3.87025874,3.52007474,0.0304157,5.2e-07,-7.6e-07,-0.31916872,0.12993576,-0.45422485,-0.024824899999999997,0.00021631500000000002,0.0007128849999999999,5.81801833,4.0001945,3.06584989,0.005590795,0.00021683500000000002,0.0007121250000000001
HH118,HO2,1.65934433,2.63110896,1.41719195,0.19606684,0.0,-0.0,0.10426595,0.18547286,0.07041416,0.014486305000000001,0.0,0.0,1.76361027,2.81658182,1.48760611,0.210553145,0.0,-0.0,1.67049791,2.63773842,1.42754392,0.19478909,-0.0,0.0,0.10244806,0.18433748,0.06887594,0.014437695,-0.0,-0.0,1.77294597,2.82207589,1.49641986,0.209226785,-0.0,-0.0,1.67121649,2.63878043,1.42834061,0.19471947,-0.0,0.0,0.10191797,0.18393018,0.06862555,0.014307745,-0.0,-0.0,1.77313446,2.82271061,1.49696616,0.209027215,-0.0,0.0,1.63382325,2.61689664,1.38953156,0.19830819,-0.0,0.0,0.09074689,0.18082658,0.05726168,0.015924624999999998,0.0,0.0,1.72457014,2.79772322,1.44679324,0.21423281,0.0,0.0,1.66012408,2.63191198,1.41809917,0.19564012,-0.0,0.0,0.09684437,0.18294044,0.06375133,0.014920395,0.0,0.0,1.75696844,2.81485241,1.4818505,0.210560515,0.0,0.0,1.66637719,2.63575352,1.42412008,0.19496793,0.0,-0.0,0.09901472,0.18301606,0.06610368,0.014497565,0.0,0.0,1.7653919,2.81876957,1.49022377,0.209465495,0.0,-0.0
HH118,HOCl,2.90828719,2.75498543,4.24624405,-0.0,-0.0,-0.15178142,0.09075144,0.11072036,0.02069582,-0.0,-0.0,0.0073817250000000004,2.99903864,2.86570579,4.26693987,-0.0,-0.0,-0.14439969,2.92783797,2.77459543,4.25595178,0.0,0.0,-0.15123254,0.08466955,0.10325715,0.01826486,-0.0,-0.0,0.00735385,3.01250752,2.87785258,4.27421664,-0.0,0.0,-0.14387869,2.93089348,2.77806487,4.258686,-0.0,-0.0,-0.1516274,0.08369809,0.10225141,0.01781164,-0.0,-0.0,0.00736411,3.01459157,2.88031629,4.27649764,-0.0,-0.0,-0.14426329,2.87168944,2.71185455,4.21131898,0.0,0.0,-0.1546996,0.07936952,0.09412113,0.01109034,0.0,0.0,0.00594624,2.95105896,2.80597569,4.22240932,0.0,0.0,-0.14875336,2.92078178,2.76552517,4.24917518,0.0,0.0,-0.15256822,0.08193363,0.09850988,0.01610805,-0.0,0.0,0.00662698,3.00271542,2.86403505,4.26528323,-0.0,0.0,-0.14594124,2.91940241,2.76541721,4.25165598,-0.0,-0.0,-0.15197347,0.08082512,0.09826967,0.01544741,-0.0,-0.0,0.00707326,3.00022754,2.86368688,4.26710338,-0.0,-0.0,-0.14490021
HH118,HOF,1.45901048,1.26585472,2.375918,-0.0,0.0,-0.1300214,0.09000627,0.10819782,-0.05436436,-0.0,-0.0,0.008094625000000001,1.54901675,1.37405254,2.32155364,-0.0,0.0,-0.121926775,1.46606429,1.27657131,2.38125315,-0.0,-0.0,-0.12927301,0.08857371,0.10728328,-0.05573779,0.0,0.0,0.008387835,1.554638,1.38385458,2.32551536,0.0,-0.0,-0.12088518,1.46671514,1.2775013,2.38191674,0.0,-0.0,-0.12929027,0.08806956,0.10695288,-0.05618457,0.0,-0.0,0.008417055,1.55478469,1.38445418,2.32573217,0.0,-0.0,-0.12087321,1.43181021,1.23597681,2.34907447,-0.0,-0.0,-0.13248279,0.08015557,0.09526497,-0.06134134,0.0,-0.0,0.00744201,1.51196578,1.33124178,2.28773313,0.0,-0.0,-0.12504078,1.4562176,1.26541521,2.37139239,-0.0,-0.0,-0.13014983,0.08428466,0.10113804,-0.05878129,-0.0,0.0,0.008011915000000001,1.54050227,1.36655325,2.3126111,-0.0,0.0,-0.122137915,1.46235034,1.27229963,2.37810691,-0.0,-0.0,-0.12955334,0.08595056,0.10388471,-0.05778606,-0.0,0.0,0.008292845,1.54830089,1.37618435,2.32032085,-0.0,0.0,-0.121260495
HH118,HOOH,1.93347728,2.88840603,1.75599602,0.21851108,-0.0,0.0,0.1127026,-0.03920787,0.14117398,-0.017890535,0.0,-0.0,2.04617989,2.84919815,1.89717,0.200620555,-0.0,-0.0,1.94136056,2.89502438,1.7657715,0.2171776,0.0,-0.0,0.11112548,-0.04109647,0.1394112,-0.01792924,-0.0,-0.0,2.05248605,2.85392791,1.9051827,0.199248365,-0.0,-0.0,1.94195274,2.89607044,1.76655265,0.21715892,0.0,-0.0,0.11048882,-0.04144646,0.13885607,-0.01796126,0.0,0.0,2.05244156,2.85462399,1.90540872,0.19919766,0.0,0.0,1.92199461,2.86950016,1.73349377,0.21983985,0.0,0.0,0.10671409,-0.04355521,0.13017076,-0.017322845,-0.0,-0.0,2.02870871,2.82594495,1.86366452,0.202517005,-0.0,-0.0,1.9361001,2.88776576,1.7559039,0.21782182,-0.0,0.0,0.10838041,-0.04228706,0.13411552,-0.01762162,-0.0,-0.0,2.04448051,2.84547869,1.89001942,0.2002002,-0.0,0.0,1.93931583,2.89272523,1.76170463,0.21731269,0.0,-0.0,0.10898668,-0.04244914,0.13602033,-0.0178679,-0.0,-0.0,2.04830251,2.85027609,1.89772496,0.19944479,-0.0,-0.0
HH118,He,0.20990244,0.20990244,0.20990244,0.0,-0.0,-0.0,0.00268345,0.00268345,0.00268345,-0.0,-0.0,-0.0,0.21258589,0.21258589,0.21258589,0.0,-0.0,-0.0,0.21003542,0.21003542,0.21003542,0.0,0.0,0.0,0.00260277,0.00260277,0.00260277,0.0,0.0,0.0,0.21263819,0.21263819,0.21263819,0.0,0.0,0.0,0.20982555,0.20982555,0.20982555,0.0,-0.0,0.0,0.0026736,0.0026736,0.0026736,0.0,-0.0,-0.0,0.21249915,0.21249915,0.21249915,0.0,-0.0,0.0,0.2073799,0.2073799,0.2073799,-0.0,0.0,0.0,0.00264782,0.00264782,0.00264782,-0.0,0.0,0.0,0.21002772,0.21002772,0.21002772,-0.0,0.0,0.0,0.20948278,0.20948278,0.20948278,-0.0,-0.0,0.0,0.00266753,0.00266753,0.00266753,0.0,-0.0,0.0,0.21215031,0.21215031,0.21215031,0.0,-0.0,0.0,0.20992891,0.20992891,0.20992891,-0.0,0.0,0.0,0.00267007,0.00267007,0.00267007,0.0,0.0,-0.0,0.21259898,0.21259898,0.21259898,-0.0,0.0,-0.0
HH118,Li,22.18175119,22.18175119,22.18175119,-0.0,0.0,-0.0,-0.11723145,-0.11723145,-0.11723145,0.0,-0.0,0.0,22.06451974,22.06451974,22.06451974,-0.0,0.0,-0.0,22.32680224,22.32680224,22.32680224,0.0,0.0,-0.0,-0.10855749,-0.10855749,-0.10855749,-0.0,-0.0,0.0,22.21824475,22.21824475,22.21824475,0.0,0.0,-0.0,22.34653746,22.34653746,22.34653746,-0.0,-0.0,-0.0,-0.12566924,-0.12566924,-0.12566924,0.0,0.0,0.0,22.22086822,22.22086822,22.22086822,-0.0,-0.0,-0.0,22.33408289,22.33408289,22.33408289,0.0,-0.0,0.0,-0.16639991,-0.16639991,-0.16639991,0.0,-0.0,-0.0,22.16768298,22.16768298,22.16768298,0.0,-0.0,-0.0,22.36468613,22.36468613,22.36468613,-0.0,-0.0,-0.0,-0.19261549,-0.19261549,-0.19261549,-0.0,-0.0,-0.0,22.17207064,22.17207064,22.17207064,-0.0,-0.0,-0.0,22.36096263,22.36096263,22.36096263,-0.0,0.0,-0.0,-0.13620839,-0.13620839,-0.13620839,-0.0,0.0,-0.0,22.22475425,22.22475425,22.22475425,-0.0,0.0,-0.0
HH118,LiBH4,4.28770782,4.28779034,4.65346465,0.0,-2.47e-05,0.0,0.08324964,0.08335165,0.12260902,-0.0,3.973e-05,0.0,4.37095747,4.37114199,4.77607366,-0.0,1.504e-05,0.0,4.29609646,4.29616809,4.65203623,-0.0,-2.587e-05,0.0,0.08521787,0.08522175,0.12350773,0.0,7.405e-06,0.0,4.38131433,4.38138984,4.77554396,-0.0,-1.8465e-05,0.0,4.29665664,4.2967283,4.65306169,0.0,-2.564e-05,0.0,0.08625713,0.08625108,0.12470287,-0.0,1.96e-06,-0.0,4.38291377,4.38297938,4.77776456,-0.0,-2.3679999999999997e-05,-0.0,4.29921874,4.29929196,4.65674412,-0.0,-2.536e-05,-0.0,0.08934619,0.08934269,0.12791375,0.0,-6.54e-06,0.0,4.38856493,4.38863465,4.78465787,-0.0,-3.1905e-05,-0.0,4.29704374,4.29711883,4.65399855,0.0,-2.817e-05,-0.0,0.08775171,0.08774938,0.12677891,-0.0,-3.057e-05,-0.0,4.38479544,4.38486821,4.78077745,0.0,-5.874e-05,-0.0,4.29665431,4.29672578,4.65309295,0.0,-2.559e-05,0.0,0.08722428,0.08722701,0.12573524,0.0,4.275e-06,0.0,4.38387859,4.38395279,4.77882818,0.0,-2.1315000000000002e-05,0.0
HH118,LiCN,3.61978884,3.77261979,3.08142932,0.34080834,-0.0,0.0,0.20860802,0.13919579,0.12635906,-0.043565610000000005,-0.0,0.0,3.82839687,3.91181558,3.20778837,0.29724273,-0.0,0.0,3.61817679,3.78117513,3.08723351,0.3419158,0.0,0.0,0.2003992,0.13243169,0.11898925,-0.043457424999999994,-0.0,0.0,3.818576,3.91360682,3.20622276,0.298458375,0.0,0.0,3.61933119,3.78208578,3.08871682,0.34164828,-0.0,0.0,0.19792504,0.12999287,0.11684975,-0.043540090000000004,0.0,0.0,3.81725623,3.91207864,3.20556657,0.298108195,-0.0,0.0,3.61969891,3.7817799,3.08079563,0.34091939,0.0,0.0,0.20535822,0.13693729,0.12272294,-0.042720419999999995,-0.0,-0.0,3.82505713,3.91871719,3.20351857,0.29819897,-0.0,-0.0,3.61991746,3.78175466,3.08772183,0.34161278,-0.0,0.0,0.20052762,0.13232855,0.1184632,-0.04334439,0.0,-0.0,3.82044508,3.91408321,3.20618502,0.29826838,0.0,-0.0,3.61951541,3.78204772,3.08864071,0.34155589,-0.0,-0.0,0.19787339,0.13024784,0.11673678,-0.043312304999999995,-0.0,0.0,3.81738879,3.91229556,3.20537749,0.29824357999999995,-0.0,0.0
HH118,LiCl,3.7583972,3.7583972,3.96124884,0.0,-0.0,-0.0,0.18658457,0.18658457,0.23520496,-0.0,0.0,0.0,3.94498177,3.94498177,4.1964538,-0.0,0.0,0.0,3.78678658,3.78678658,3.9844719,-0.0,0.0,0.0,0.16295542,0.16295542,0.21480204,0.0,0.0,-0.0,3.949742,3.949742,4.19927394,0.0,0.0,-0.0,3.79092315,3.79092315,3.98738284,-0.0,-0.0,-0.0,0.15539283,0.15539283,0.20748098,0.0,-0.0,-0.0,3.94631598,3.94631598,4.19486383,0.0,-0.0,-0.0,3.73327383,3.73327383,3.9827185,0.0,-0.0,0.0,0.16282567,0.16282567,0.22136716,0.0,-0.0,0.0,3.8960995,3.8960995,4.20408566,0.0,-0.0,0.0,3.78163251,3.78163251,3.98527801,-0.0,0.0,0.0,0.15605183,0.15605183,0.21078992,-0.0,-0.0,0.0,3.93768434,3.93768434,4.19606793,-0.0,-0.0,0.0,3.78565048,3.78565048,3.98661004,-0.0,-0.0,-0.0,0.15242305,0.15242305,0.20440073,0.0,0.0,-0.0,3.93807353,3.93807353,4.19101077,0.0,0.0,-0.0
HH118,LiH,4.13132956,4.13132956,3.74714126,-0.0,0.0,-0.0,0.20278697,0.20278697,0.2324382,0.0,-0.0,0.0,4.33411653,4.33411653,3.97957946,-0.0,0.0,-0.0,4.12303087,4.12303087,3.72899039,0.0,-0.0,0.0,0.18310194,0.18310194,0.20930166,0.0,0.0,-0.0,4.30613281,4.30613281,3.93829205,0.0,0.0,0.0,4.12281275,4.12281275,3.72783321,-0.0,0.0,0.0,0.1817633,0.1817633,0.20484152,-0.0,0.0,-0.0,4.30457604,4.30457604,3.93267473,-0.0,0.0,-0.0,4.12348866,4.12348866,3.72936621,-0.0,0.0,-0.0,0.18482023,0.18482023,0.21872049,0.0,0.0,-0.0,4.30830889,4.30830889,3.9480867,-0.0,0.0,-0.0,4.12219444,4.12219444,3.72768619,0.0,0.0,-0.0,0.18182338,0.18182338,0.21150603,-0.0,-0.0,0.0,4.30401781,4.30401781,3.93919221,-0.0,-0.0,0.0,4.12319905,4.12319905,3.72796993,0.0,-0.0,0.0,0.18242247,0.18242247,0.2069319,0.0,-0.0,-0.0,4.30562152,4.30562152,3.93490183,0.0,-0.0,0.0
HH118,Mg,11.10990359,11.10990359,11.10990359,-0.0,-0.0,-0.0,-0.31662901,-0.31662901,-0.31662901,-0.0,-0.0,-0.0,10.79327458,10.79327458,10.79327458,-0.0,-0.0,-0.0,11.12443324,11.12443324,11.12443324,-0.0,0.0,0.0,-0.44999761,-0.44999761,-0.44999761,-0.0,0.0,-0.0,10.67443563,10.67443563,10.67443563,-0.0,0.0,-0.0,11.15250433,11.15250433,11.15250433,-0.0,0.0,0.0,-0.47891678,-0.47891678,-0.47891678,-0.0,0.0,0.0,10.67358755,10.67358755,10.67358755,-0.0,0.0,0.0,11.15744362,11.15744362,11.15744362,0.0,-0.0,0.0,-0.40095074,-0.40095074,-0.40095074,0.0,0.0,-0.0,10.75649289,10.75649289,10.75649289,0.0,-0.0,-0.0,11.15272164,11.15272164,11.15272164,-0.0,0.0,0.0,-0.42763184,-0.42763184,-0.42763184,0.0,0.0,-0.0,10.7250898,10.7250898,10.7250898,0.0,0.0,-0.0,11.15295957,11.15295957,11.15295957,0.0,0.0,0.0,-0.43963581,-0.43963581,-0.43963581,0.0,0.0,0.0,10.71332376,10.71332376,10.71332376,0.0,0.0,0.0
HH118,Mg2,18.980018,18.980018,34.05422274,-0.0,-0.0,-0.0,-0.42845607,-0.42845607,-0.89164278,0.0,0.0,0.0,18.55156193,18.55156193,33.16257996,-0.0,0.0,-0.0,19.05413783,19.05413783,34.19465594,-0.0,0.0,0.0,-0.62761148,-0.62761148,-1.34480397,-0.0,0.0,-0.0,18.42652635,18.42652635,32.84985197,-0.0,0.0,0.0,19.08559829,19.08559829,34.28542105,0.0,0.0,-0.0,-0.65705131,-0.65705131,-1.30814498,0.0,-0.0,-0.0,18.42854698,18.42854698,32.97727606,0.0,0.0,-0.0,19.0940315,19.0940315,34.282475,0.0,0.0,0.0,-0.56923051,-0.56923051,-1.11036493,-0.0,0.0,-0.0,18.52480099,18.52480099,33.17211007,-0.0,0.0,0.0,19.09046747,19.09046747,34.29619877,-0.0,-0.0,-0.0,-0.60630908,-0.60630908,-1.19870959,-0.0,0.0,-0.0,18.48415839,18.48415839,33.09748918,-0.0,0.0,-0.0,19.08960843,19.08960843,34.30437556,-0.0,0.0,-0.0,-0.62215195,-0.62215195,-1.23269713,-0.0,-0.0,0.0,18.46745648,18.46745648,33.07167843,-0.0,-0.0,-0.0
HH118,N,1.09149629,1.09149629,1.09149629,-0.0,0.0,0.0,0.01668101,0.01668101,0.01668101,0.0,-0.0,0.0,1.10817731,1.10817731,1.10817731,-0.0,-0.0,0.0,1.09747148,1.09747148,1.09747148,0.0,-0.0,0.0,0.01365006,0.01365006,0.01365006,0.0,0.0,-0.0,1.11112154,1.11112154,1.11112154,0.0,0.0,0.0,1.09850867,1.09850867,1.09850867,0.0,0.0,-0.0,0.01355849,0.01355849,0.01355849,-0.0,-0.0,0.0,1.11206716,1.11206716,1.11206716,0.0,-0.0,-0.0,1.08105708,1.08105708,1.08105708,0.0,0.0,-0.0,0.01237493,0.01237493,0.01237493,-0.0,-0.0,0.0,1.09343202,1.09343202,1.09343202,0.0,-0.0,0.0,1.09620015,1.09620015,1.09620015,0.0,-0.0,0.0,0.01374507,0.01374507,0.01374507,-0.0,-0.0,-0.0,1.10994522,1.10994522,1.10994522,0.0,-0.0,0.0,1.09751902,1.09751902,1.09751902,0.0,0.0,-0.0,0.01379207,0.01379207,0.01379207,-0.0,-0.0,0.0,1.11131109,1.11131109,1.11131109,-0.0,-0.0,0.0
